driverId,position,time,number,Season,Round
max_verstappen,1,118.245,1,2021,1
hamilton,2,119.538,1,2021,1
leclerc,3,122.698,1,2021,1
bottas,4,123.772,1,2021,1
gasly,5,124.697,1,2021,1
norris,6,126.744,1,2021,1
ricciardo,7,128.545,1,2021,1
alonso,8,130.373,1,2021,1
stroll,9,132.39600000000002,1,2021,1
sainz,10,134.282,1,2021,1
raikkonen,11,136.372,1,2021,1
giovinazzi,12,138.362,1,2021,1
ocon,13,139.86599999999999,1,2021,1
vettel,14,141.797,1,2021,1
tsunoda,15,142.502,1,2021,1
russell,16,144.364,1,2021,1
latifi,17,145.219,1,2021,1
mick_schumacher,18,146.524,1,2021,1
perez,19,147.951,1,2021,1
max_verstappen,1,142.406,2,2021,1
hamilton,2,142.712,2,2021,1
leclerc,3,141.183,2,2021,1
bottas,4,141.478,2,2021,1
gasly,5,142.263,2,2021,1
norris,6,140.999,2,2021,1
ricciardo,7,140.642,2,2021,1
alonso,8,139.776,2,2021,1
stroll,9,139.603,2,2021,1
sainz,10,139.07,2,2021,1
raikkonen,11,139.993,2,2021,1
giovinazzi,12,138.879,2,2021,1
ocon,13,138.821,2,2021,1
vettel,14,138.294,2,2021,1
tsunoda,15,138.52,2,2021,1
russell,16,138.994,2,2021,1
latifi,17,139.416,2,2021,1
mick_schumacher,18,139.552,2,2021,1
perez,19,140.666,2,2021,1
max_verstappen,1,158.001,3,2021,1
hamilton,2,156.656,3,2021,1
leclerc,3,155.188,3,2021,1
bottas,4,154.199,3,2021,1
gasly,5,152.61,3,2021,1
norris,6,152.067,3,2021,1
ricciardo,7,151.04500000000002,3,2021,1
alonso,8,150.63,3,2021,1
stroll,9,149.035,3,2021,1
sainz,10,148.127,3,2021,1
raikkonen,11,145.649,3,2021,1
giovinazzi,12,145.126,3,2021,1
ocon,13,143.946,3,2021,1
vettel,14,142.63,3,2021,1
tsunoda,15,142.096,3,2021,1
russell,16,139.901,3,2021,1
latifi,17,138.832,3,2021,1
mick_schumacher,18,137.719,3,2021,1
perez,19,135.246,3,2021,1
max_verstappen,1,104.343,4,2021,1
hamilton,2,104.932,4,2021,1
leclerc,3,106.10300000000001,4,2021,1
bottas,4,108.04599999999999,4,2021,1
norris,5,109.988,4,2021,1
ricciardo,6,111.438,4,2021,1
alonso,7,112.313,4,2021,1
stroll,8,112.919,4,2021,1
sainz,9,113.477,4,2021,1
giovinazzi,10,113.761,4,2021,1
raikkonen,11,116.55799999999999,4,2021,1
ocon,12,117.137,4,2021,1
vettel,13,117.475,4,2021,1
russell,14,117.443,4,2021,1
perez,15,118.72399999999999,4,2021,1
tsunoda,16,120.403,4,2021,1
latifi,17,121.239,4,2021,1
gasly,18,126.772,4,2021,1
mick_schumacher,19,129.25900000000001,4,2021,1
max_verstappen,1,104.62899999999999,5,2021,1
hamilton,2,105.13900000000001,5,2021,1
