driverId,lap,stop,duration,Season,Round
perez,2,1,23.993,2021,1
gasly,4,1,38.338,2021,1
alonso,11,1,24.373,2021,1
norris,12,1,24.899,2021,1
leclerc,12,1,24.925,2021,1
stroll,12,1,24.884,2021,1
giovinazzi,12,1,31.998,2021,1
hamilton,13,1,24.839,2021,1
ricciardo,13,1,24.688,2021,1
raikkonen,13,1,24.107,2021,1
ocon,13,1,25.226,2021,1
russell,13,1,24.621,2021,1
latifi,14,1,26.046,2021,1
mick_schumacher,14,1,25.798,2021,1
sainz,15,1,24.353,2021,1
tsunoda,15,1,25.046,2021,1
bottas,16,1,24.262,2021,1
max_verstappen,17,1,24.767,2021,1
perez,19,2,24.105,2021,1
gasly,19,2,24.317,2021,1
vettel,24,1,24.626,2021,1
hamilton,28,2,24.076,2021,1
stroll,28,2,25.525,2021,1
raikkonen,29,2,24.046,2021,1
alonso,29,2,24.775,2021,1
bottas,30,2,32.897,2021,1
giovinazzi,30,2,24.223,2021,1
ocon,31,2,24.471,2021,1
leclerc,32,2,24.176,2021,1
ricciardo,32,2,24.655,2021,1
ocon,1,1,30.866,2021,2
vettel,3,1,32.024,2021,2
mick_schumacher,5,1,51.007,2021,2
mazepin,12,1,31.168,2021,2
gasly,14,1,31.068,2021,2
vettel,20,2,31.184,2021,2
mick_schumacher,21,2,32.479,2021,2
vettel,22,3,39.502,2021,2
mazepin,23,2,31.5,2021,2
tsunoda,25,1,30.696,2021,2
russell,26,1,29.983,2021,2
raikkonen,26,1,30.28,2021,2
max_verstappen,27,1,29.809,2021,2
gasly,26,2,32.277,2021,2
sainz,27,1,30.856,2021,2
ricciardo,27,1,34.34,2021,2
stroll,27,1,31.138,2021,2
hamilton,28,1,32.112,2021,2
giovinazzi,27,1,32.299,2021,2
ocon,27,2,30.652,2021,2
leclerc,28,1,31.002,2021,2
perez,28,1,44.608,2021,2
norris,28,1,30.654,2021,2
bottas,28,1,30.167,2021,2
alonso,28,1,30.864,2021,2
hamilton,31,2,38.198,2021,2
ocon,31,3,30.701,2021,2
bottas,2,1,21.377,2021,3
hamilton,2,1,22.426,2021,3
max_verstappen,2,1,22.718,2021,3
sainz,2,1,22.029,2021,3
perez,2,1,21.89,2021,3
norris,2,1,21.407,2021,3
ocon,2,1,21.275,2021,3
leclerc,2,1,21.323,2021,3
gasly,2,1,21.353,2021,3
vettel,2,1,21.398,2021,3
russell,2,1,23.532,2021,3
giovinazzi,2,1,22.485,2021,3
ricciardo,2,1,21.965,2021,3
alonso,2,1,21.452,2021,3
tsunoda,2,1,22.266,2021,3
stroll,2,1,22.264,2021,3
latifi,2,1,21.97,2021,3
mick_schumacher,2,1,22.019,2021,3
mazepin,2,1,21.372,2021,3
bottas,3,2,22.072,2021,3
hamilton,3,2,22.164,2021,3
max_verstappen,3,2,22.104,2021,3
sainz,3,2,22.244,2021,3
perez,3,2,22.1,2021,3
norris,3,2,22.551,2021,3
ocon,3,2,22.24,2021,3
leclerc,3,2,22.587,2021,3
gasly,3,2,22.319,2021,3
vettel,3,2,21.75,2021,3
russell,3,2,22.755,2021,3
giovinazzi,8,1,54.673,2021,4
russell,9,1,23.814,2021,4
latifi,9,1,26.672,2021,4
gasly,18,1,28.042,2021,4
alonso,21,1,22.043,2021,4
vettel,21,1,23.087,2021,4
sainz,22,1,21.779,2021,4
stroll,22,1,21.756,2021,4
mazepin,22,1,23.098,2021,4
bottas,23,1,22.311,2021,4
ocon,23,1,22.798,2021,4
norris,23,1,21.864,2021,4
mick_schumacher,23,1,24.006,2021,4
max_verstappen,24,1,23.565,2021,4
ricciardo,25,1,22.406,2021,4
perez,27,1,22.382,2021,4
latifi,27,2,21.424,2021,4
hamilton,28,1,22.22,2021,4
leclerc,28,1,21.613,2021,4
russell,28,2,21.919,2021,4
raikkonen,37,1,21.572,2021,4
vettel,38,2,21.973,2021,4
stroll,39,2,21.432,2021,4
giovinazzi,39,2,22.871,2021,4
hamilton,42,2,22.078,2021,4
mazepin,42,2,22.502,2021,4
ricciardo,46,2,21.762,2021,4
sainz,46,2,21.856,2021,4
gasly,47,2,26.065,2021,4
latifi,50,3,22.405,2021,4
hamilton,29,1,23.783,2021,5
norris,30,1,23.874,2021,5
gasly,30,1,24.428,2021,5
vettel,31,1,24.369,2021,5
russell,31,1,23.928,2021,5
sainz,32,1,24.15,2021,5
giovinazzi,33,1,24.521,2021,5
max_verstappen,34,1,23.746,2021,5
perez,35,1,24.548,2021,5
mazepin,34,1,25.202,2021,5
ricciardo,36,1,24.715,2021,5
ocon,37,1,23.935,2021,5
mick_schumacher,37,1,24.797,2021,5
raikkonen,43,1,24.077,2021,5
latifi,43,1,23.703,2021,5
alonso,45,1,23.803,2021,5
stroll,58,1,23.474,2021,5
tsunoda,64,1,24.43,2021,5
hamilton,67,2,24.244,2021,5
russell,1,1,19.97,2021,6
giovinazzi,2,1,20.402,2021,6
alonso,7,1,20.168,2021,6
norris,7,1,20.533,2021,6
mick_schumacher,8,1,22.44,2021,6
leclerc,9,1,19.836,2021,6
tsunoda,9,1,20.253,2021,6
latifi,9,1,22.149,2021,6
mazepin,9,1,21.759,2021,6
sainz,10,1,20.064,2021,6
hamilton,11,1,22.47,2021,6
gasly,11,1,20.156,2021,6
bottas,11,1,20.356,2021,6
ricciardo,11,1,20.082,2021,6
max_verstappen,12,1,19.769,2021,6
perez,13,1,21.874,2021,6
raikkonen,13,1,20.048,2021,6
vettel,18,1,19.841,2021,6
alonso,34,2,19.983,2021,6
giovinazzi,34,2,20.193,2021,6
russell,34,2,20.029,2021,6
mazepin,34,2,21.958,2021,6
mick_schumacher,44,3,21.587,2021,6
mazepin,44,3,24.78,2021,6
perez,47,2,15.277,2021,6
hamilton,47,2,15.432,2021,6
vettel,47,2,14.945,2021,6
gasly,47,2,15.085,2021,6
leclerc,47,2,15.092,2021,6
leclerc,14,1,30.798,2021,7
tsunoda,15,1,30.226,2021,7
mick_schumacher,15,1,31.457,2021,7
ricciardo,16,1,29.951,2021,7
bottas,17,1,30.572,2021,7
sainz,17,1,30.534,2021,7
gasly,17,1,30.781,2021,7
russell,17,1,30.092,2021,7
max_verstappen,18,1,29.803,2021,7
alonso,18,1,31.288,2021,7
latifi,18,1,29.775,2021,7
hamilton,19,1,30.263,2021,7
perez,24,1,29.682,2021,7
norris,24,1,30.531,2021,7
ocon,28,1,30.207,2021,7
giovinazzi,28,1,30.586,2021,7
mazepin,31,1,30.983,2021,7
max_verstappen,32,2,30.123,2021,7
raikkonen,33,1,31.327,2021,7
stroll,34,1,30.996,2021,7
vettel,37,1,31.069,2021,7
leclerc,38,2,31.368,2021,7
leclerc,1,1,28.386,2021,8
latifi,1,1,26.419,2021,8
mazepin,21,1,22.759,2021,8
giovinazzi,23,1,21.21,2021,8
russell,25,1,37.309,2021,8
perez,26,1,23.477,2021,8
latifi,25,2,21.953,2021,8
tsunoda,26,1,21.234,2021,8
russell,26,2,46.315,2021,8
bottas,27,1,21.752,2021,8
alonso,27,1,21.131,2021,8
vettel,27,1,21.546,2021,8
hamilton,28,1,21.219,2021,8
stroll,28,1,20.936,2021,8
max_verstappen,29,1,20.936,2021,8
norris,31,1,21.692,2021,8
mick_schumacher,33,1,22.4,2021,8
raikkonen,36,1,21.227,2021,8
ocon,36,1,21.238,2021,8
leclerc,37,2,21.924,2021,8
sainz,41,1,21.226,2021,8
ricciardo,41,1,21.41,2021,8
perez,54,2,20.961,2021,8
hamilton,69,2,21.64,2021,8
giovinazzi,1,1,21.129,2021,9
tsunoda,12,1,21.145,2021,9
gasly,13,1,22.564,2021,9
stroll,14,1,21.391,2021,9
vettel,17,1,21.086,2021,9
mazepin,27,1,22.0,2021,9
ricciardo,29,1,21.151,2021,9
giovinazzi,29,2,27.122,2021,9
norris,30,1,26.474,2021,9
bottas,30,1,21.071,2021,9
russell,30,1,21.606,2021,9
hamilton,31,1,21.005,2021,9
max_verstappen,32,1,21.09,2021,9
perez,32,1,21.735,2021,9
alonso,32,1,22.663,2021,9
latifi,33,1,21.152,2021,9
leclerc,34,1,21.143,2021,9
mick_schumacher,34,1,21.798,2021,9
raikkonen,37,1,21.896,2021,9
gasly,45,2,20.85,2021,9
mazepin,45,2,23.182,2021,9
stroll,46,2,21.472,2021,9
sainz,48,1,21.431,2021,9
vettel,49,2,20.841,2021,9
tsunoda,51,2,26.604,2021,9
hamilton,53,2,21.421,2021,9
max_verstappen,60,2,21.236,2021,9
raikkonen,18,2,28.11,2021,10
perez,18,2,27.892,2021,10
russell,18,2,27.812,2021,10
vettel,18,2,28.145,2021,10
ocon,19,2,28.772,2021,10
latifi,19,2,27.543,2021,10
ricciardo,20,2,28.817,2021,10
norris,21,2,31.706,2021,10
bottas,22,2,28.209,2021,10
stroll,23,2,28.213,2021,10
giovinazzi,23,2,28.137,2021,10
max_verstappen,1,1,22.569,2021,11
mazepin,1,1,23.715,2021,11
norris,1,1,38.267,2021,11
giovinazzi,1,1,26.573,2021,11
ocon,3,2,39.522,2021,11
vettel,3,2,40.882,2021,11
sainz,3,2,42.786,2021,11
tsunoda,3,2,40.74,2021,11
latifi,3,2,39.081,2021,11
alonso,3,2,37.122,2021,11
raikkonen,3,2,35.451,2021,11
russell,3,2,29.374,2021,11
mick_schumacher,3,2,36.813,2021,11
gasly,3,2,39.839,2021,11
ricciardo,3,2,34.492,2021,11
mick_schumacher,4,1,35.573,2021,13
perez,8,1,19.287,2021,13
vettel,10,1,18.664,2021,13
hamilton,20,1,19.77,2021,13
max_verstappen,21,1,19.142,2021,13
latifi,23,1,20.646,2021,13
gasly,24,1,19.163,2021,13
giovinazzi,27,1,19.049,2021,13
russell,27,1,18.634,2021,13
stroll,27,1,19.389,2021,13
ricciardo,30,1,19.449,2021,13
bottas,31,1,18.873,2021,13
sainz,31,1,20.327,2021,13
ocon,31,1,19.24,2021,13
tsunoda,31,1,19.85,2021,13
mick_schumacher,30,2,24.578,2021,13
alonso,33,1,19.018,2021,13
giovinazzi,33,2,20.043,2021,13
mazepin,33,1,19.999,2021,13
leclerc,34,1,19.49,2021,13
hamilton,39,2,18.868,2021,13
max_verstappen,40,2,18.578,2021,13
kubica,40,1,19.708,2021,13
norris,42,1,20.443,2021,13
vettel,44,2,18.681,2021,13
perez,47,2,18.555,2021,13
bottas,67,2,21.73,2021,13
hamilton,70,3,19.202,2021,13
russell,68,2,25.533,2021,13
giovinazzi,1,1,37.19,2021,14
ricciardo,22,1,23.812,2021,14
vettel,22,1,25.157,2021,14
max_verstappen,23,1,32.456,2021,14
latifi,23,1,24.168,2021,14
mick_schumacher,23,1,24.714,2021,14
norris,24,1,24.168,2021,14
mazepin,24,1,24.928,2021,14
hamilton,25,1,25.619,2021,14
stroll,25,1,24.846,2021,14
alonso,25,1,24.797,2021,14
giovinazzi,25,2,30.551,2021,14
leclerc,26,1,24.557,2021,14
perez,26,1,23.906,2021,14
sainz,26,1,24.283,2021,14
bottas,26,1,24.308,2021,14
ocon,26,1,30.333,2021,14
russell,26,1,24.156,2021,14
kubica,26,1,24.501,2021,14
vettel,26,2,25.927,2021,14
mazepin,28,2,24.806,2021,14
mazepin,39,3,30.917,2021,14
stroll,12,1,30.241,2021,15
russell,13,1,30.665,2021,15
latifi,13,1,30.056,2021,15
tsunoda,13,1,30.112,2021,15
sainz,14,1,30.715,2021,15
mazepin,14,1,30.127,2021,15
ocon,15,1,29.901,2021,15
raikkonen,15,1,30.102,2021,15
mick_schumacher,20,1,29.996,2021,15
ricciardo,22,1,33.617,2021,15
hamilton,26,1,29.878,2021,15
max_verstappen,26,1,29.578,2021,15
vettel,26,1,29.242,2021,15
norris,28,1,29.824,2021,15
bottas,28,1,29.936,2021,15
gasly,33,1,29.354,2021,15
leclerc,35,1,31.849,2021,15
perez,36,1,36.026,2021,15
alonso,36,1,30.157,2021,15
giovinazzi,36,1,30.081,2021,15
russell,47,2,32.081,2021,15
bottas,47,2,29.569,2021,15
raikkonen,47,2,30.131,2021,15
mazepin,46,2,33.931,2021,15
tsunoda,47,2,30.98,2021,15
max_verstappen,48,2,31.017,2021,15
sainz,48,2,30.677,2021,15
ricciardo,48,2,31.016,2021,15
stroll,48,2,43.124,2021,15
hamilton,49,2,30.045,2021,15
ricciardo,21,1,23.028,2021,16
alonso,30,1,29.116,2021,16
norris,34,1,23.239,2021,16
latifi,34,1,24.104,2021,16
tsunoda,35,1,23.329,2021,16
russell,35,1,23.551,2021,16
max_verstappen,36,1,22.442,2021,16
sainz,36,1,28.353,2021,16
mazepin,35,1,23.829,2021,16
vettel,36,1,23.5,2021,16
bottas,37,1,22.962,2021,16
perez,37,1,22.463,2021,16
raikkonen,37,1,23.164,2021,16
vettel,37,2,23.514,2021,16
gasly,39,1,29.31,2021,16
stroll,39,1,35.509,2021,16
mick_schumacher,39,1,23.892,2021,16
giovinazzi,40,1,23.15,2021,16
leclerc,47,1,23.646,2021,16
hamilton,50,1,22.684,2021,16
mazepin,1,1,30.673,2021,17
ocon,3,1,40.8,2021,17
latifi,5,1,32.61,2021,17
alonso,7,1,23.576,2021,17
giovinazzi,8,1,23.993,2021,17
tsunoda,9,1,23.802,2021,17
russell,9,1,23.572,2021,17
max_verstappen,10,1,23.727,2021,17
norris,10,1,24.385,2021,17
gasly,10,1,23.745,2021,17
ricciardo,11,1,24.176,2021,17
sainz,11,1,23.414,2021,17
mick_schumacher,11,1,24.293,2021,17
perez,12,1,25.018,2021,17
leclerc,12,1,24.011,2021,17
raikkonen,12,1,24.191,2021,17
hamilton,13,1,24.481,2021,17
bottas,15,1,24.444,2021,17
vettel,17,1,24.977,2021,17
stroll,18,1,23.827,2021,17
mazepin,24,2,24.611,2021,17
latifi,25,2,23.653,2021,17
ocon,25,2,23.919,2021,17
giovinazzi,26,2,23.502,2021,17
alonso,28,2,23.844,2021,17
max_verstappen,29,2,24.052,2021,17
sainz,29,2,26.866,2021,17
perez,30,2,23.604,2021,17
ricciardo,30,2,24.036,2021,17
norris,30,2,25.548,2021,17
ricciardo,1,1,38.128,2021,18
bottas,1,1,22.463,2021,18
latifi,11,1,23.681,2021,18
stroll,12,1,23.586,2021,18
mazepin,13,1,25.094,2021,18
ocon,14,1,23.1,2021,18
russell,15,1,21.984,2021,18
giovinazzi,16,1,22.205,2021,18
hamilton,29,1,22.373,2021,18
leclerc,30,1,22.085,2021,18
gasly,31,1,22.549,2021,18
raikkonen,32,1,22.424,2021,18
max_verstappen,33,1,21.908,2021,18
vettel,33,1,22.277,2021,18
stroll,34,2,26.056,2021,18
ricciardo,38,2,22.813,2021,18
alonso,39,1,23.985,2021,18
perez,40,1,22.114,2021,18
bottas,40,2,31.664,2021,18
sainz,42,1,22.031,2021,18
norris,44,1,22.534,2021,18
latifi,49,2,22.739,2021,18
mazepin,58,2,23.637,2021,18
bottas,63,3,22.68,2021,18
bottas,67,4,26.443,2021,18
norris,1,1,27.313,2021,19
tsunoda,4,1,31.939,2021,19
russell,6,1,22.978,2021,19
tsunoda,6,2,17.758,2021,19
norris,6,2,17.719,2021,19
max_verstappen,7,1,17.916,2021,19
perez,7,1,18.308,2021,19
hamilton,7,1,17.91,2021,19
bottas,7,1,17.899,2021,19
leclerc,7,1,17.943,2021,19
sainz,7,1,18.46,2021,19
vettel,7,1,18.107,2021,19
gasly,7,1,19.439,2021,19
ocon,7,1,19.285,2021,19
ricciardo,7,1,19.732,2021,19
alonso,7,1,17.751,2021,19
stroll,7,1,17.948,2021,19
giovinazzi,7,1,17.713,2021,19
mazepin,7,1,17.995,2021,19
mick_schumacher,7,1,17.861,2021,19
latifi,7,1,18.153,2021,19
raikkonen,7,1,18.327,2021,19
russell,7,2,20.844,2021,19
tsunoda,7,3,17.711,2021,19
norris,7,3,17.673,2021,19
max_verstappen,8,2,17.807,2021,19
perez,8,2,18.136,2021,19
hamilton,8,2,18.66,2021,19
bottas,8,2,17.837,2021,19
leclerc,8,2,17.771,2021,19
tsunoda,9,1,25.659,2021,20
raikkonen,10,1,26.174,2021,20
gasly,13,1,25.63,2021,20
giovinazzi,15,1,25.987,2021,20
max_verstappen,17,1,25.3,2021,20
russell,17,1,26.121,2021,20
hamilton,18,1,25.235,2021,20
latifi,18,1,25.811,2021,20
perez,19,1,25.419,2021,20
mick_schumacher,22,1,25.881,2021,20
alonso,23,1,25.991,2021,20
stroll,23,1,26.157,2021,20
ocon,24,1,25.517,2021,20
norris,25,1,25.319,2021,20
ricciardo,26,1,25.562,2021,20
vettel,26,1,25.726,2021,20
sainz,27,1,25.639,2021,20
leclerc,27,1,25.799,2021,20
raikkonen,30,2,25.633,2021,20
mazepin,31,1,26.515,2021,20
giovinazzi,32,2,25.347,2021,20
bottas,33,1,36.341,2021,20
