driverId,position,time,number,Season,Round
max_verstappen,1,1:58.245,1,2021,1
hamilton,2,1:59.538,1,2021,1
leclerc,3,2:02.698,1,2021,1
bottas,4,2:03.772,1,2021,1
gasly,5,2:04.697,1,2021,1
norris,6,2:06.744,1,2021,1
ricciardo,7,2:08.545,1,2021,1
alonso,8,2:10.373,1,2021,1
stroll,9,2:12.396,1,2021,1
sainz,10,2:14.282,1,2021,1
raikkonen,11,2:16.372,1,2021,1
giovinazzi,12,2:18.362,1,2021,1
ocon,13,2:19.866,1,2021,1
vettel,14,2:21.797,1,2021,1
tsunoda,15,2:22.502,1,2021,1
russell,16,2:24.364,1,2021,1
latifi,17,2:25.219,1,2021,1
mick_schumacher,18,2:26.524,1,2021,1
perez,19,2:27.951,1,2021,1
max_verstappen,1,2:22.406,2,2021,1
hamilton,2,2:22.712,2,2021,1
leclerc,3,2:21.183,2,2021,1
bottas,4,2:21.478,2,2021,1
gasly,5,2:22.263,2,2021,1
norris,6,2:20.999,2,2021,1
ricciardo,7,2:20.642,2,2021,1
alonso,8,2:19.776,2,2021,1
stroll,9,2:19.603,2,2021,1
sainz,10,2:19.070,2,2021,1
raikkonen,11,2:19.993,2,2021,1
giovinazzi,12,2:18.879,2,2021,1
ocon,13,2:18.821,2,2021,1
vettel,14,2:18.294,2,2021,1
tsunoda,15,2:18.520,2,2021,1
russell,16,2:18.994,2,2021,1
latifi,17,2:19.416,2,2021,1
mick_schumacher,18,2:19.552,2,2021,1
perez,19,2:20.666,2,2021,1
max_verstappen,1,2:38.001,3,2021,1
hamilton,2,2:36.656,3,2021,1
leclerc,3,2:35.188,3,2021,1
bottas,4,2:34.199,3,2021,1
gasly,5,2:32.610,3,2021,1
norris,6,2:32.067,3,2021,1
ricciardo,7,2:31.045,3,2021,1
alonso,8,2:30.630,3,2021,1
stroll,9,2:29.035,3,2021,1
sainz,10,2:28.127,3,2021,1
raikkonen,11,2:25.649,3,2021,1
giovinazzi,12,2:25.126,3,2021,1
ocon,13,2:23.946,3,2021,1
vettel,14,2:22.630,3,2021,1
tsunoda,15,2:22.096,3,2021,1
russell,16,2:19.901,3,2021,1
latifi,17,2:18.832,3,2021,1
mick_schumacher,18,2:17.719,3,2021,1
perez,19,2:15.246,3,2021,1
max_verstappen,1,1:44.343,4,2021,1
hamilton,2,1:44.932,4,2021,1
leclerc,3,1:46.103,4,2021,1
bottas,4,1:48.046,4,2021,1
norris,5,1:49.988,4,2021,1
ricciardo,6,1:51.438,4,2021,1
alonso,7,1:52.313,4,2021,1
stroll,8,1:52.919,4,2021,1
sainz,9,1:53.477,4,2021,1
giovinazzi,10,1:53.761,4,2021,1
raikkonen,11,1:56.558,4,2021,1
ocon,12,1:57.137,4,2021,1
vettel,13,1:57.475,4,2021,1
russell,14,1:57.443,4,2021,1
perez,15,1:58.724,4,2021,1
tsunoda,16,2:00.403,4,2021,1
latifi,17,2:01.239,4,2021,1
gasly,18,2:06.772,4,2021,1
mick_schumacher,19,2:09.259,4,2021,1
max_verstappen,1,1:44.629,5,2021,1
hamilton,2,1:45.139,5,2021,1
leclerc,3,1:45.543,5,2021,1
bottas,4,1:43.651,5,2021,1
norris,5,1:42.220,5,2021,1
ricciardo,6,1:41.470,5,2021,1
alonso,7,1:40.858,5,2021,1
stroll,8,1:41.463,5,2021,1
sainz,9,1:41.209,5,2021,1
giovinazzi,10,1:42.150,5,2021,1
raikkonen,11,1:40.574,5,2021,1
ocon,12,1:40.334,5,2021,1
russell,13,1:40.849,5,2021,1
vettel,14,1:41.948,5,2021,1
perez,15,1:40.010,5,2021,1
tsunoda,16,1:40.554,5,2021,1
latifi,17,1:40.773,5,2021,1
mick_schumacher,18,1:39.927,5,2021,1
gasly,19,2:11.534,5,2021,1
max_verstappen,1,1:35.982,6,2021,1
hamilton,2,1:36.169,6,2021,1
bottas,3,1:37.109,6,2021,1
leclerc,4,1:38.294,6,2021,1
norris,5,1:37.893,6,2021,1
max_verstappen,1,1:38.603,1,2021,2
hamilton,2,1:42.572,1,2021,2
leclerc,3,1:47.198,1,2021,2
perez,4,1:47.814,1,2021,2
ricciardo,5,1:52.843,1,2021,2
gasly,6,1:54.003,1,2021,2
stroll,7,1:55.367,1,2021,2
sainz,8,1:57.218,1,2021,2
norris,9,1:59.977,1,2021,2
bottas,10,2:00.892,1,2021,2
russell,11,2:02.630,1,2021,2
raikkonen,12,2:03.999,1,2021,2
giovinazzi,13,2:05.332,1,2021,2
ocon,14,2:05.387,1,2021,2
tsunoda,15,2:09.267,1,2021,2
mick_schumacher,16,2:09.679,1,2021,2
alonso,17,2:10.127,1,2021,2
vettel,18,2:11.207,1,2021,2
mazepin,19,2:13.405,1,2021,2
max_verstappen,1,2:29.163,2,2021,2
hamilton,2,2:28.397,2,2021,2
leclerc,3,2:25.323,2,2021,2
perez,4,2:26.227,2,2021,2
ricciardo,5,2:22.588,2,2021,2
gasly,6,2:23.030,2,2021,2
stroll,7,2:23.355,2,2021,2
sainz,8,2:22.547,2,2021,2
norris,9,2:22.471,2,2021,2
bottas,10,2:22.900,2,2021,2
russell,11,2:23.543,2,2021,2
raikkonen,12,2:23.752,2,2021,2
giovinazzi,13,2:23.868,2,2021,2
tsunoda,14,2:21.016,2,2021,2
mick_schumacher,15,2:21.704,2,2021,2
alonso,16,2:23.276,2,2021,2
vettel,17,2:24.647,2,2021,2
mazepin,18,2:26.056,2,2021,2
ocon,19,2:35.352,2,2021,2
max_verstappen,1,2:23.247,3,2021,2
hamilton,2,2:21.831,3,2021,2
leclerc,3,2:21.062,3,2021,2
perez,4,2:20.741,3,2021,2
ricciardo,5,2:20.636,3,2021,2
gasly,6,2:20.848,3,2021,2
stroll,7,2:21.212,3,2021,2
sainz,8,2:21.308,3,2021,2
norris,9,2:19.843,3,2021,2
bottas,10,2:20.725,3,2021,2
russell,11,2:20.650,3,2021,2
raikkonen,12,2:20.380,3,2021,2
giovinazzi,13,2:20.385,3,2021,2
tsunoda,14,2:20.548,3,2021,2
mick_schumacher,15,2:20.080,3,2021,2
alonso,16,2:19.978,3,2021,2
mazepin,17,2:18.071,3,2021,2
ocon,18,2:17.933,3,2021,2
vettel,19,2:22.980,3,2021,2
max_verstappen,1,2:20.332,4,2021,2
hamilton,2,2:21.660,4,2021,2
leclerc,3,2:22.840,4,2021,2
perez,4,2:22.893,4,2021,2
ricciardo,5,2:24.931,4,2021,2
gasly,6,2:24.697,4,2021,2
stroll,7,2:23.912,4,2021,2
sainz,8,2:26.446,4,2021,2
norris,9,2:27.079,4,2021,2
bottas,10,2:25.912,4,2021,2
russell,11,2:26.172,4,2021,2
raikkonen,12,2:26.822,4,2021,2
giovinazzi,13,2:26.814,4,2021,2
tsunoda,14,2:26.700,4,2021,2
alonso,15,2:25.540,4,2021,2
mazepin,16,2:22.477,4,2021,2
ocon,17,2:22.503,4,2021,2
vettel,18,2:25.242,4,2021,2
mick_schumacher,19,2:43.646,4,2021,2
max_verstappen,1,2:25.691,5,2021,2
hamilton,2,2:25.146,5,2021,2
leclerc,3,2:25.489,5,2021,2
perez,4,2:25.257,5,2021,2
ricciardo,5,2:24.261,5,2021,2
gasly,6,2:23.932,5,2021,2
stroll,7,2:23.822,5,2021,2
sainz,8,2:21.700,5,2021,2
norris,9,2:21.984,5,2021,2
bottas,10,2:23.930,5,2021,2
russell,11,2:23.405,5,2021,2
raikkonen,12,2:23.239,5,2021,2
giovinazzi,13,2:23.313,5,2021,2
tsunoda,14,2:23.251,5,2021,2
alonso,15,2:22.849,5,2021,2
mazepin,16,2:23.337,5,2021,2
ocon,17,2:23.527,5,2021,2
vettel,18,2:22.250,5,2021,2
mick_schumacher,19,2:25.633,5,2021,2
max_verstappen,1,2:20.804,6,2021,2
hamilton,2,2:18.618,6,2021,2
leclerc,3,2:16.873,6,2021,2
perez,4,2:16.344,6,2021,2
ricciardo,5,2:14.861,6,2021,2
bottas,1,1:24.937,1,2021,3
hamilton,2,1:25.806,1,2021,3
max_verstappen,3,1:26.704,1,2021,3
sainz,4,1:28.400,1,2021,3
perez,5,1:29.236,1,2021,3
norris,6,1:29.671,1,2021,3
ocon,7,1:30.419,1,2021,3
leclerc,8,1:30.736,1,2021,3
gasly,9,1:31.557,1,2021,3
vettel,10,1:31.907,1,2021,3
russell,11,1:32.993,1,2021,3
giovinazzi,12,1:33.594,1,2021,3
raikkonen,13,1:33.673,1,2021,3
ricciardo,14,1:34.197,1,2021,3
alonso,15,1:34.254,1,2021,3
tsunoda,16,1:34.845,1,2021,3
stroll,17,1:35.093,1,2021,3
latifi,18,1:35.546,1,2021,3
mick_schumacher,19,1:36.319,1,2021,3
mazepin,20,1:36.628,1,2021,3
bottas,1,1:46.875,2,2021,3
hamilton,2,1:48.207,2,2021,3
max_verstappen,3,1:48.275,2,2021,3
sainz,4,1:48.928,2,2021,3
perez,5,1:49.102,2,2021,3
norris,6,1:50.559,2,2021,3
ocon,7,1:51.644,2,2021,3
leclerc,8,1:52.693,2,2021,3
gasly,9,1:53.555,2,2021,3
vettel,10,1:55.328,2,2021,3
russell,11,1:55.043,2,2021,3
giovinazzi,12,1:56.382,2,2021,3
ricciardo,13,1:57.399,2,2021,3
alonso,14,2:01.115,2,2021,3
tsunoda,15,2:02.598,2,2021,3
stroll,16,2:03.386,2,2021,3
latifi,17,2:04.268,2,2021,3
mick_schumacher,18,2:04.418,2,2021,3
mazepin,19,2:05.966,2,2021,3
bottas,1,2:22.684,3,2021,3
hamilton,2,2:22.624,3,2021,3
max_verstappen,3,2:22.886,3,2021,3
sainz,4,2:21.456,3,2021,3
perez,5,2:21.727,3,2021,3
norris,6,2:20.721,3,2021,3
ocon,7,2:20.679,3,2021,3
leclerc,8,2:21.183,3,2021,3
gasly,9,2:21.094,3,2021,3
vettel,10,2:21.344,3,2021,3
russell,11,2:21.091,3,2021,3
giovinazzi,12,2:20.500,3,2021,3
ricciardo,13,2:20.615,3,2021,3
alonso,14,2:18.877,3,2021,3
tsunoda,15,2:18.773,3,2021,3
stroll,16,2:19.146,3,2021,3
latifi,17,2:19.257,3,2021,3
mick_schumacher,18,2:19.654,3,2021,3
mazepin,19,2:19.735,3,2021,3
bottas,1,2:15.331,4,2021,3
hamilton,2,2:15.225,4,2021,3
