driverId,lap,stop,time,duration,Season,Round
perez,2,1,18:11:56,23.993,2021,1
gasly,4,1,18:16:14,38.338,2021,1
alonso,11,1,18:27:32,24.373,2021,1
norris,12,1,18:29:05,24.899,2021,1
leclerc,12,1,18:29:06,24.925,2021,1
stroll,12,1,18:29:09,24.884,2021,1
giovinazzi,12,1,18:29:14,31.998,2021,1
hamilton,13,1,18:30:29,24.839,2021,1
ricciardo,13,1,18:30:45,24.688,2021,1
raikkonen,13,1,18:30:52,24.107,2021,1
ocon,13,1,18:30:55,25.226,2021,1
russell,13,1,18:31:02,24.621,2021,1
latifi,14,1,18:32:44,26.046,2021,1
mick_schumacher,14,1,18:32:58,25.798,2021,1
sainz,15,1,18:34:04,24.353,2021,1
tsunoda,15,1,18:34:12,25.046,2021,1
bottas,16,1,18:35:24,24.262,2021,1
max_verstappen,17,1,18:36:54,24.767,2021,1
perez,19,2,18:40:35,24.105,2021,1
gasly,19,2,18:41:17,24.317,2021,1
vettel,24,1,18:49:08,24.626,2021,1
hamilton,28,2,18:54:40,24.076,2021,1
stroll,28,2,18:55:23,25.525,2021,1
raikkonen,29,2,18:57:06,24.046,2021,1
alonso,29,2,18:57:13,24.775,2021,1
bottas,30,2,18:57:58,32.897,2021,1
giovinazzi,30,2,18:58:53,24.223,2021,1
ocon,31,2,19:00:29,24.471,2021,1
leclerc,32,2,19:01:40,24.176,2021,1
ricciardo,32,2,19:01:44,24.655,2021,1
ocon,1,1,15:05:16,30.866,2021,2
vettel,3,1,15:10:09,32.024,2021,2
mick_schumacher,5,1,15:15:11,51.007,2021,2
mazepin,12,1,15:27:20,31.168,2021,2
gasly,14,1,15:30:10,31.068,2021,2
vettel,20,2,15:39:11,31.184,2021,2
mick_schumacher,21,2,15:41:24,32.479,2021,2
vettel,22,3,15:42:52,39.502,2021,2
mazepin,23,2,15:45:20,31.500,2021,2
tsunoda,25,1,15:46:39,30.696,2021,2
russell,26,1,15:47:53,29.983,2021,2
raikkonen,26,1,15:47:55,30.280,2021,2
max_verstappen,27,1,15:47:59,29.809,2021,2
gasly,26,2,15:48:45,32.277,2021,2
sainz,27,1,15:48:51,30.856,2021,2
ricciardo,27,1,15:48:57,34.340,2021,2
stroll,27,1,15:49:16,31.138,2021,2
hamilton,28,1,15:49:27,32.112,2021,2
giovinazzi,27,1,15:49:32,32.299,2021,2
ocon,27,2,15:49:42,30.652,2021,2
leclerc,28,1,15:49:43,31.002,2021,2
perez,28,1,15:49:58,44.608,2021,2
norris,28,1,15:50:11,30.654,2021,2
bottas,28,1,15:50:46,30.167,2021,2
alonso,28,1,15:51:18,30.864,2021,2
hamilton,31,2,15:55:30,38.198,2021,2
ocon,31,3,15:56:23,30.701,2021,2
max_verstappen,33,2,15:58:11,27:01.361,2021,2
stroll,32,2,15:58:13,24:52.090,2021,2
raikkonen,32,2,15:58:16,24:52.612,2021,2
bottas,2,1,15:06:11,21.377,2021,3
hamilton,2,1,15:06:13,22.426,2021,3
max_verstappen,2,1,15:06:14,22.718,2021,3
sainz,2,1,15:06:16,22.029,2021,3
perez,2,1,15:06:18,21.890,2021,3
norris,2,1,15:06:19,21.407,2021,3
ocon,2,1,15:06:21,21.275,2021,3
leclerc,2,1,15:06:23,21.323,2021,3
gasly,2,1,15:06:24,21.353,2021,3
vettel,2,1,15:06:26,21.398,2021,3
russell,2,1,15:06:27,23.532,2021,3
giovinazzi,2,1,15:06:29,22.485,2021,3
ricciardo,2,1,15:06:31,21.965,2021,3
alonso,2,1,15:06:34,21.452,2021,3
tsunoda,2,1,15:06:36,22.266,2021,3
stroll,2,1,15:06:37,22.264,2021,3
latifi,2,1,15:06:39,21.970,2021,3
mick_schumacher,2,1,15:06:40,22.019,2021,3
mazepin,2,1,15:06:42,21.372,2021,3
bottas,3,2,15:08:34,22.072,2021,3
hamilton,3,2,15:08:36,22.164,2021,3
max_verstappen,3,2,15:08:37,22.104,2021,3
sainz,3,2,15:08:38,22.244,2021,3
perez,3,2,15:08:39,22.100,2021,3
norris,3,2,15:08:40,22.551,2021,3
ocon,3,2,15:08:42,22.240,2021,3
leclerc,3,2,15:08:43,22.587,2021,3
gasly,3,2,15:08:45,22.319,2021,3
vettel,3,2,15:08:48,21.750,2021,3
russell,3,2,15:08:48,22.755,2021,3
giovinazzi,8,1,15:15:06,54.673,2021,4
russell,9,1,15:17:07,23.814,2021,4
latifi,9,1,15:17:10,26.672,2021,4
gasly,18,1,15:30:37,28.042,2021,4
alonso,21,1,15:34:51,22.043,2021,4
vettel,21,1,15:34:52,23.087,2021,4
sainz,22,1,15:36:10,21.779,2021,4
stroll,22,1,15:36:15,21.756,2021,4
mazepin,22,1,15:36:40,23.098,2021,4
bottas,23,1,15:37:18,22.311,2021,4
